country_name,country_code,state_name,state_alpha,state_fips_code,marketing_id
UNITED STATES,9000,WYOMING,WY,56,APR THRU JUNWY2020
UNITED STATES,9000,WYOMING,WY,56,JAN THRU MARWY2019
UNITED STATES,9000,WYOMING,WY,56,JUL THRU SEPWY2019
UNITED STATES,9000,WYOMING,WY,56,OCT THRU DECWY2019
UNITED STATES,9000,WYOMING,WY,56,JAN THRU MARWY2018
UNITED STATES,9000,WYOMING,WY,56,APR THRU JUNWY2018
UNITED STATES,9000,WYOMING,WY,56,JUL THRU SEPWY2018
UNITED STATES,9000,WYOMING,WY,56,OCT THRU DECWY2018
UNITED STATES,9000,WYOMING,WY,56,JAN THRU MARWY2017
UNITED STATES,9000,WYOMING,WY,56,APR THRU JUNWY2017
UNITED STATES,9000,WYOMING,WY,56,JUL THRU SEPWY2017
UNITED STATES,9000,WYOMING,WY,56,OCT THRU DECWY2017
UNITED STATES,9000,WYOMING,WY,56,JAN THRU MARWY2016
UNITED STATES,9000,WYOMING,WY,56,APR THRU JUNWY2016
UNITED STATES,9000,WYOMING,WY,56,JUL THRU SEPWY2016
UNITED STATES,9000,WYOMING,WY,56,OCT THRU DECWY2016
UNITED STATES,9000,WYOMING,WY,56,JAN THRU MARWY2015
UNITED STATES,9000,WYOMING,WY,56,APR THRU JUNWY2015
UNITED STATES,9000,WYOMING,WY,56,JUL THRU SEPWY2015
UNITED STATES,9000,WYOMING,WY,56,OCT THRU DECWY2015
UNITED STATES,9000,OTHER STATES,OT,98,JAN THRU MAROT2020
UNITED STATES,9000,OTHER STATES,OT,98,APR THRU JUNOT2020
UNITED STATES,9000,OTHER STATES,OT,98,JAN THRU MAROT2019
UNITED STATES,9000,OTHER STATES,OT,98,JUL THRU SEPOT2019
UNITED STATES,9000,OTHER STATES,OT,98,OCT THRU DECOT2019
UNITED STATES,9000,OTHER STATES,OT,98,JAN THRU MAROT2018
UNITED STATES,9000,OTHER STATES,OT,98,APR THRU JUNOT2018
UNITED STATES,9000,OTHER STATES,OT,98,JUL THRU SEPOT2018
UNITED STATES,9000,OTHER STATES,OT,98,OCT THRU DECOT2018
UNITED STATES,9000,OTHER STATES,OT,98,JAN THRU MAROT2017
UNITED STATES,9000,OTHER STATES,OT,98,APR THRU JUNOT2017
UNITED STATES,9000,OTHER STATES,OT,98,JUL THRU SEPOT2017
UNITED STATES,9000,OTHER STATES,OT,98,OCT THRU DECOT2017
UNITED STATES,9000,OTHER STATES,OT,98,JAN THRU MAROT2016
UNITED STATES,9000,OTHER STATES,OT,98,APR THRU JUNOT2016
UNITED STATES,9000,OTHER STATES,OT,98,JUL THRU SEPOT2016
UNITED STATES,9000,OTHER STATES,OT,98,OCT THRU DECOT2016
UNITED STATES,9000,OTHER STATES,OT,98,JAN THRU MAROT2015
UNITED STATES,9000,OTHER STATES,OT,98,APR THRU JUNOT2015
UNITED STATES,9000,OTHER STATES,OT,98,JUL THRU SEPOT2015
UNITED STATES,9000,OTHER STATES,OT,98,OCT THRU DECOT2015
UNITED STATES,9000,ALABAMA,AL,01,JAN THRU MARAL2020
UNITED STATES,9000,ALABAMA,AL,01,APR THRU JUNAL2020
UNITED STATES,9000,ALABAMA,AL,01,JAN THRU MARAL2019
UNITED STATES,9000,ALABAMA,AL,01,JUL THRU SEPAL2019
UNITED STATES,9000,ALABAMA,AL,01,OCT THRU DECAL2019
UNITED STATES,9000,ALABAMA,AL,01,JAN THRU MARAL2018
UNITED STATES,9000,ALABAMA,AL,01,APR THRU JUNAL2018
UNITED STATES,9000,ALABAMA,AL,01,JUL THRU SEPAL2018
UNITED STATES,9000,ALABAMA,AL,01,OCT THRU DECAL2018
UNITED STATES,9000,ALABAMA,AL,01,JAN THRU MARAL2017
UNITED STATES,9000,ALABAMA,AL,01,APR THRU JUNAL2017
UNITED STATES,9000,ALABAMA,AL,01,JUL THRU SEPAL2017
UNITED STATES,9000,ALABAMA,AL,01,OCT THRU DECAL2017
UNITED STATES,9000,ALABAMA,AL,01,JAN THRU MARAL2016
UNITED STATES,9000,ALABAMA,AL,01,APR THRU JUNAL2016
UNITED STATES,9000,ALABAMA,AL,01,JUL THRU SEPAL2016
UNITED STATES,9000,ALABAMA,AL,01,OCT THRU DECAL2016
UNITED STATES,9000,ALABAMA,AL,01,JAN THRU MARAL2015
UNITED STATES,9000,ALABAMA,AL,01,APR THRU JUNAL2015
UNITED STATES,9000,ALABAMA,AL,01,JUL THRU SEPAL2015
UNITED STATES,9000,ALABAMA,AL,01,OCT THRU DECAL2015
UNITED STATES,9000,ARIZONA,AZ,04,JAN THRU MARAZ2020
UNITED STATES,9000,ARIZONA,AZ,04,APR THRU JUNAZ2020
UNITED STATES,9000,ARIZONA,AZ,04,JAN THRU MARAZ2019
UNITED STATES,9000,ARIZONA,AZ,04,JUL THRU SEPAZ2019
UNITED STATES,9000,ARIZONA,AZ,04,OCT THRU DECAZ2019
UNITED STATES,9000,ARIZONA,AZ,04,JAN THRU MARAZ2018
UNITED STATES,9000,ARIZONA,AZ,04,APR THRU JUNAZ2018
UNITED STATES,9000,ARIZONA,AZ,04,JUL THRU SEPAZ2018
UNITED STATES,9000,ARIZONA,AZ,04,OCT THRU DECAZ2018
UNITED STATES,9000,ARIZONA,AZ,04,JAN THRU MARAZ2017
UNITED STATES,9000,ARIZONA,AZ,04,APR THRU JUNAZ2017
UNITED STATES,9000,ARIZONA,AZ,04,JUL THRU SEPAZ2017
UNITED STATES,9000,ARIZONA,AZ,04,OCT THRU DECAZ2017
UNITED STATES,9000,ARIZONA,AZ,04,JAN THRU MARAZ2016
UNITED STATES,9000,ARIZONA,AZ,04,APR THRU JUNAZ2016
UNITED STATES,9000,ARIZONA,AZ,04,JUL THRU SEPAZ2016
UNITED STATES,9000,ARIZONA,AZ,04,OCT THRU DECAZ2016
UNITED STATES,9000,ARIZONA,AZ,04,JAN THRU MARAZ2015
